"year","Total.Precip..mm.","Mean.Temp...C.","Mean.Max.Temp...C.","parameter","location","species","Spawner.Abundace...Run.Size"
1950,39.025,0.475,6.4,"NuSEDS counts by CU","Morice","Lake sockeye",42750
1951,42.5,1.48333333333333,7.49166666666667,"NuSEDS counts by CU","Morice","Lake sockeye",55400
1952,28.9833333333333,2.775,8.48333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",NA
1953,44.5583333333333,2.8,7.925,"NuSEDS counts by CU","Morice","Lake sockeye",35700
1954,47.8,1.49166666666667,6.3,"NuSEDS counts by CU","Morice","Lake sockeye",NA
1955,27.35,0.258333333333333,5.24166666666667,"NuSEDS counts by CU","Morice","Lake sockeye",4000
1956,30.45,1.68333333333333,7.18333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",6000
1957,40.45,1.74166666666667,7.025,"NuSEDS counts by CU","Morice","Lake sockeye",400
1958,36.7416666666667,3.9,9.13333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",25
1959,46.6333333333333,1.94166666666667,6.95833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",750
1960,31.2416666666667,2.575,7.875,"NuSEDS counts by CU","Morice","Lake sockeye",3500
1961,31.1333333333333,3.14166666666667,8.55,"NuSEDS counts by CU","Morice","Lake sockeye",5000
1962,41.9166666666667,2.475,7.525,"NuSEDS counts by CU","Morice","Lake sockeye",3000
1963,32.1,3.575,8.50833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",2500
1964,36.4833333333333,1.825,6.575,"NuSEDS counts by CU","Morice","Lake sockeye",8500
1965,35.9916666666667,2.59166666666667,7.90833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",11000
1966,40.9916666666667,2.15833333333333,7.18333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",6900
1967,32.8666666666667,3.05833333333333,8.33333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",3900
1968,43.125,1.81666666666667,6.975,"NuSEDS counts by CU","Morice","Lake sockeye",3800
1969,31.6583333333333,2.40833333333333,7.75833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",3300
1970,26.8416666666667,2,7.175,"NuSEDS counts by CU","Morice","Lake sockeye",4700
1971,42.9083333333333,1.83333333333333,7.175,"NuSEDS counts by CU","Morice","Lake sockeye",3300
1972,36.0416666666667,1.45,6.79166666666667,"NuSEDS counts by CU","Morice","Lake sockeye",1800
1973,31.125,1.35833333333333,6.45833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",1200
1974,34.4583333333333,2.6,8,"NuSEDS counts by CU","Morice","Lake sockeye",1200
1975,44.3,1.39166666666667,6.50833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",325
1976,41.1,2.475,7.15,"NuSEDS counts by CU","Morice","Lake sockeye",100
1977,32.2666666666667,2.58333333333333,7.6,"NuSEDS counts by CU","Morice","Lake sockeye",600
1978,37.35,2.675,7.65,"NuSEDS counts by CU","Morice","Lake sockeye",750
1979,35.5916666666667,2.46666666666667,7.74166666666667,"NuSEDS counts by CU","Morice","Lake sockeye",1050
1980,36.9416666666667,2.875,7.725,"NuSEDS counts by CU","Morice","Lake sockeye",650
1981,32.825,3.86666666666667,8.75833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",1300
1982,38.425,1.79166666666667,6.95,"NuSEDS counts by CU","Morice","Lake sockeye",3000
1983,33.5833333333333,2.825,7.61666666666667,"NuSEDS counts by CU","Morice","Lake sockeye",4000
1984,37.4833333333333,2.375,7.18333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",3000
1985,26.2333333333333,2.10833333333333,7.20833333333333,"NuSEDS counts by CU","Morice","Lake sockeye",2002
1986,35.625,3.20833333333333,8.075,"NuSEDS counts by CU","Morice","Lake sockeye",3000
1987,26.2454545454545,4.46666666666667,9.58333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",4000
1988,37.01,1.54,6.14,"NuSEDS counts by CU","Morice","Lake sockeye",1000
1989,39.5333333333333,3.46666666666667,8.91666666666667,"NuSEDS counts by CU","Morice","Lake sockeye",5600
1990,40.6416666666667,3.275,8.53333333333333,"NuSEDS counts by CU","Morice","Lake sockeye",6000
1991,28.5583333333333,3.53333333333333,8.875,"NuSEDS counts by CU","Morice","Lake sockeye",40000
1992,35.8833333333333,4.10833333333333,9.125,"NuSEDS counts by CU","Morice","Lake sockeye",27000
1993,36.5833333333333,3.20833333333333,8.75,"NuSEDS counts by CU","Morice","Lake sockeye",22000
1994,38.3333333333333,3.30833333333333,8.35,"NuSEDS counts by CU","Morice","Lake sockeye",NA
1995,36.5166666666667,2.575,7.96666666666667,"NuSEDS counts by CU","Morice","Lake sockeye",35000
1996,49.3,0.441666666666666,5.525,"NuSEDS counts by CU","Morice","Lake sockeye",41000
1997,42.9,3.49166666666667,8.45,"NuSEDS counts by CU","Morice","Lake sockeye",24000
1998,38.9,3.99166666666667,9.125,"NuSEDS counts by CU","Morice","Lake sockeye",6000
1999,33.1666666666667,3.41666666666667,8.44166666666667,"NuSEDS counts by CU","Morice","Lake sockeye",15000
2000,30.7666666666667,2.6,7.56666666666667,"NuSEDS counts by CU","Morice","Lake sockeye",3000
2001,30.325,2.68333333333333,7.59166666666667,"NuSEDS counts by CU","Morice","Lake sockeye",4000
2002,32.9818181818182,2.03636363636364,6.91818181818182,"NuSEDS counts by CU","Morice","Lake sockeye",NA
