Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-126.67,54.4,HOUSTON,1073615,Jan-57,1957,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,Feb-57,1957,2,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,Mar-57,1957,3,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,Apr-57,1957,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,May-57,1957,5,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jun-57,1957,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jul-57,1957,7,19,,4.8,,11.9,,26.1,,-1.7,S,58.2,,0,,58.2,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-57,1957,8,19.7,,5.5,,12.6,,24.4,S,-2.2,,122.9,,0,,122.9,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-57,1957,9,,M,,M,,M,,M,,M,38.1,,0,,38.1,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-57,1957,10,8.3,,-4.7,,1.8,,18.3,,-16.7,,45.5,,0,,45.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Nov-57,1957,11,4.7,,-3.1,,0.8,,12.2,,,M,39.6,,7.1,,46.7,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Dec-57,1957,12,,M,-12.5,,,M,,M,-20.6,,1,,42.7,,43.7,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jan-58,1958,1,-0.1,,-7.9,,-4,,8.3,,-20,,1,,22.6,,23.6,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Feb-58,1958,2,-1.6,,-9.4,,-5.5,,11.7,,-24.4,,4.6,,36.6,,41.1,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Mar-58,1958,3,3.3,,-8.2,,-2.5,,12.2,,-18.3,,6.4,,34.3,,40.6,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Apr-58,1958,4,11.3,,-2.8,,4.3,,22.2,,-7.8,,11.2,,0,,11.2,,,M,,,,
-126.67,54.4,HOUSTON,1073615,May-58,1958,5,19.8,,1,,10.4,,31.1,S,-5.6,,2.5,,0,,2.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jun-58,1958,6,,M,,M,,M,,M,,M,55.6,,0,,55.6,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jul-58,1958,7,26.4,,,M,,M,32.8,,,M,19.6,,0,,19.6,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Aug-58,1958,8,20.8,,4.4,,12.6,,29.4,,-2.8,S,46,,0,,46,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Sep-58,1958,9,14.4,,1.8,,8.1,,21.7,S,-3.9,,71.4,,0,,71.4,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Oct-58,1958,10,10.3,,-0.4,,5,,20,,-7.8,,16.8,,7.6,,24.4,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Nov-58,1958,11,-0.3,,-10,,-5.2,,10,,-22.2,,0,,19.8,,19.8,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Dec-58,1958,12,-3.9,,-12.5,,-8.2,,7.2,,-32.8,S,46.7,,24.6,,71.4,,13,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-59,1959,1,-7.4,,-17,,-12.2,,7.2,,-34.4,,0,,68.8,,68.8,,56,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-59,1959,2,-1.7,,-16.8,,-9.3,,7.2,,-35,,32.8,,21.6,,54.4,,36,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-59,1959,3,5.7,,-4.3,,0.7,,11.1,,-11.1,,5.3,,0,T,5.3,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-59,1959,4,11.6,,-3.6,,4,,22.2,,-7.8,S,0,T,14,,14,,0,T,,,,
-126.67,54.4,HOUSTON,1073615,May-59,1959,5,14.9,,0,,7.5,,27.8,,-5.6,S,37.1,,2.5,,39.6,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jun-59,1959,6,18,,4.6,,11.3,,24.4,,0,,125.5,,0,,125.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jul-59,1959,7,22.4,,5.7,,14.1,,28.9,,-1.1,,18,,0,,18,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Aug-59,1959,8,18.2,,3.1,,10.7,,24.4,,-3.3,,69.1,,0,,69.1,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Sep-59,1959,9,14.3,,3.1,,8.7,,19.4,,-4.4,,44.5,,0,,44.5,,,M,,,,
